Date,Verified (m)
2018-10-22 0:00,74.611
2018-10-23 0:00,74.595
2018-10-24 0:00,74.59
2018-10-25 0:00,74.583
2018-10-26 0:00,74.599
2018-10-27 0:00,74.592
2018-10-28 0:00,74.563
2018-10-29 0:00,74.558
2018-10-30 0:00,74.572
2018-10-31 0:00,74.578
2018-11-01 0:00,74.604
2018-11-02 0:00,74.619
2018-11-03 0:00,74.591
2018-11-04 0:00,74.629
2018-11-05 0:00,74.622
2018-11-06 0:00,74.625
2018-11-07 0:00,74.597
2018-11-08 0:00,74.612
2018-11-09 0:00,74.639
2018-11-10 0:00,74.582
2018-11-11 0:00,74.632
2018-11-12 0:00,74.633
2018-11-13 0:00,74.618
2018-11-14 0:00,74.634
2018-11-15 0:00,74.649
2018-11-16 0:00,74.614
2018-11-17 0:00,74.627
2018-11-18 0:00,74.64
2018-11-19 0:00,74.633
2018-11-20 0:00,74.624
2018-11-21 0:00,74.61
2018-11-22 0:00,74.623
2018-11-23 0:00,74.627
2018-11-24 0:00,74.63
2018-11-25 0:00,74.62
2018-11-26 0:00,74.657
2018-11-27 0:00,74.638
2018-11-28 0:00,74.656
2018-11-29 0:00,74.671
2018-11-30 0:00,74.685
2018-12-02 0:00,74.71
2018-12-03 0:00,74.694
2018-12-04 0:00,74.713
2018-12-05 0:00,74.712
2018-12-06 0:00,74.703
2018-12-07 0:00,74.722
2018-12-08 0:00,74.718
2018-12-09 0:00,74.704
2018-12-10 0:00,74.722
2018-12-11 0:00,74.709
2018-12-12 0:00,74.732
2018-12-13 0:00,74.735
2018-12-14 0:00,74.715
2018-12-15 0:00,74.72
2018-12-16 0:00,74.717
2018-12-17 0:00,74.695
2018-12-18 0:00,74.708
2018-12-19 0:00,74.702
2018-12-20 0:00,74.712
2018-12-21 0:00,74.72
2018-12-22 0:00,74.713
2018-12-23 0:00,74.757
2018-12-24 0:00,74.745
2018-12-25 0:00,74.762
2018-12-26 0:00,74.754
2018-12-27 0:00,74.79
2018-12-28 0:00,74.765
2018-12-29 0:00,74.756
2018-12-30 0:00,74.778
2018-12-31 0:00,74.793
2019-01-01 0:00,74.776
2019-01-02 0:00,74.804
2019-01-03 0:00,74.779
2019-01-04 0:00,74.796
2019-01-05 0:00,74.799
2019-01-06 0:00,74.799
2019-01-07 0:00,74.834
2019-01-08 0:00,74.8
2019-01-09 0:00,74.781
2019-01-10 0:00,74.793
2019-01-11 0:00,74.805
2019-01-12 0:00,74.815
2019-01-13 0:00,74.818
2019-01-14 0:00,74.808
2019-01-15 0:00,74.797
2019-01-16 0:00,74.791
2019-01-17 0:00,74.84
2019-01-18 0:00,74.824
2019-01-19 0:00,74.875
2019-01-20 0:00,74.85
2019-01-21 0:00,74.846
2019-01-22 0:00,74.878
2019-01-23 0:00,74.886
2019-01-24 0:00,74.883
2019-01-25 0:00,74.86
2019-01-26 0:00,74.913
2019-01-27 0:00,74.89
2019-01-28 0:00,74.948
2019-01-29 0:00,74.895
2019-01-30 0:00,74.874
2019-01-31 0:00,74.859
2019-02-01 0:00,74.914
2019-02-02 0:00,74.9
2019-02-03 0:00,74.919
2019-02-04 0:00,74.925
2019-02-05 0:00,74.923
2019-02-06 0:00,74.969
2019-02-07 0:00,74.968
2019-02-08 0:00,74.885
2019-02-09 0:00,74.947
2019-02-10 0:00,74.975
2019-02-11 0:00,74.995
2019-02-12 0:00,75.036
2019-02-13 0:00,74.951
2019-02-14 0:00,75.021
2019-02-15 0:00,74.99
2019-02-16 0:00,75
2019-02-17 0:00,75.031
2019-02-18 0:00,75.002
2019-02-19 0:00,74.998
2019-02-20 0:00,75.024
2019-02-21 0:00,74.983
2019-02-22 0:00,75.003
2019-02-23 0:00,75.02
2019-02-24 0:00,74.976
2019-02-25 0:00,74.923
2019-02-26 0:00,75.009
2019-02-27 0:00,75.028
2019-02-28 0:00,75.007
2019-03-01 0:00,75.005
2019-03-02 0:00,74.994
2019-03-03 0:00,74.994
2019-03-04 0:00,74.975
2019-03-05 0:00,74.967
2019-03-06 0:00,74.969
2019-03-07 0:00,74.963
2019-03-08 0:00,74.965
2019-03-09 0:00,74.977
2019-03-10 0:00,74.956
2019-03-11 0:00,74.932
2019-03-12 0:00,74.956
2019-03-13 0:00,74.971
2019-03-14 0:00,74.981
2019-03-15 0:00,74.956
2019-03-16 0:00,74.958
2019-03-17 0:00,74.973
2019-03-18 0:00,74.98
2019-03-19 0:00,74.988
2019-03-20 0:00,74.989
2019-03-21 0:00,74.995
2019-03-22 0:00,74.97
2019-03-23 0:00,74.963
2019-03-24 0:00,74.981
2019-03-25 0:00,74.985
2019-03-26 0:00,74.982
2019-03-27 0:00,74.986
2019-03-28 0:00,74.988
2019-03-29 0:00,74.988
2019-03-30 0:00,75.003
2019-03-31 0:00,75.001
2019-04-01 0:00,75.026
2019-04-02 0:00,75.049
2019-04-03 0:00,75.026
2019-04-04 0:00,75.041
2019-04-05 0:00,75.066
2019-04-06 0:00,75.05
2019-04-07 0:00,75.065
2019-04-08 0:00,75.052
2019-04-09 0:00,75.062
2019-04-10 0:00,75.073
2019-04-11 0:00,75.092
2019-04-12 0:00,75.094
2019-04-13 0:00,75.08
2019-04-14 0:00,75.096
2019-04-15 0:00,75.092
2019-04-16 0:00,75.12
2019-04-17 0:00,75.147
2019-04-18 0:00,75.156
2019-04-19 0:00,75.167
2019-04-20 0:00,75.194
2019-04-21 0:00,75.213
2019-04-22 0:00,75.235
2019-04-23 0:00,75.254
2019-04-24 0:00,75.267
2019-04-25 0:00,75.309
2019-04-26 0:00,75.324
2019-04-27 0:00,75.322
2019-04-28 0:00,75.374
2019-04-29 0:00,75.406
2019-04-30 0:00,75.4
2019-05-01 0:00,75.452
2019-05-02 0:00,75.463
2019-05-03 0:00,75.494
2019-05-04 0:00,75.502
2019-05-05 0:00,75.523
2019-05-06 0:00,75.539
2019-05-07 0:00,75.547
2019-05-08 0:00,75.58
2019-05-09 0:00,75.601
2019-05-10 0:00,75.612
2019-05-11 0:00,75.643
2019-05-12 0:00,75.667
2019-05-13 0:00,75.693
2019-05-14 0:00,75.698
2019-05-15 0:00,75.724
2019-05-16 0:00,75.754
2019-05-17 0:00,75.753
2019-05-18 0:00,75.78
2019-05-19 0:00,75.789
2019-05-20 0:00,75.79
2019-05-21 0:00,75.802
2019-05-22 0:00,75.826
2019-05-23 0:00,75.83
2019-05-24 0:00,75.833
2019-05-25 0:00,75.862
2019-05-26 0:00,75.859
2019-05-27 0:00,75.877
2019-05-28 0:00,75.886
2019-05-29 0:00,75.878
2019-05-30 0:00,75.891
2019-05-31 0:00,75.905
2019-06-01 0:00,75.91
2019-06-02 0:00,75.904
2019-06-03 0:00,75.902
2019-06-04 0:00,75.922
2019-06-05 0:00,75.931
2019-06-06 0:00,75.927
2019-06-07 0:00,75.926
2019-06-08 0:00,75.923
2019-06-09 0:00,75.923
2019-06-10 0:00,75.92
2019-06-11 0:00,75.919
2019-06-12 0:00,75.939
2019-06-13 0:00,75.934
2019-06-14 0:00,75.924
2019-06-15 0:00,75.936
2019-06-16 0:00,75.931
2019-06-17 0:00,75.92
2019-06-18 0:00,75.913
2019-06-19 0:00,75.909
2019-06-20 0:00,75.912
2019-06-21 0:00,75.912
2019-06-22 0:00,75.913
2019-06-23 0:00,75.918
2019-06-24 0:00,75.93
2019-06-25 0:00,75.919
2019-06-26 0:00,75.929
2019-06-27 0:00,75.922
2019-06-28 0:00,75.918
2019-06-29 0:00,75.909
2019-06-30 0:00,75.907
2019-07-01 0:00,75.9
2019-07-02 0:00,75.891
2019-07-03 0:00,75.887
2019-07-04 0:00,75.884
2019-07-05 0:00,75.872
2019-07-06 0:00,75.87
2019-07-07 0:00,75.858
2019-07-08 0:00,75.842
2019-07-09 0:00,75.833
2019-07-10 0:00,75.834
2019-07-11 0:00,75.832
2019-07-12 0:00,75.825
2019-07-13 0:00,75.824
2019-07-14 0:00,75.807
2019-07-15 0:00,75.8
2019-07-16 0:00,75.79
2019-07-17 0:00,75.818
2019-07-18 0:00,75.816
2019-07-19 0:00,75.799
2019-07-20 0:00,75.808
2019-07-21 0:00,75.807
2019-07-22 0:00,75.796
2019-07-23 0:00,75.776
2019-07-24 0:00,75.765
2019-07-25 0:00,75.756
2019-07-26 0:00,75.761
2019-07-27 0:00,75.75
2019-07-28 0:00,75.744
2019-07-29 0:00,75.734
2019-07-30 0:00,75.733
2019-07-31 0:00,75.701
2019-08-01 0:00,75.69
2019-08-02 0:00,75.668
2019-08-03 0:00,75.666
2019-08-04 0:00,75.658
2019-08-05 0:00,75.64
2019-08-06 0:00,75.633
2019-08-07 0:00,75.649
2019-08-08 0:00,75.635
2019-08-09 0:00,75.625
2019-08-10 0:00,75.614
2019-08-11 0:00,75.59
2019-08-12 0:00,75.581
2019-08-13 0:00,75.57
2019-08-14 0:00,75.548
2019-08-15 0:00,75.532
2019-08-16 0:00,75.516
2019-08-17 0:00,75.508
2019-08-18 0:00,75.516
2019-08-19 0:00,75.504
2019-08-20 0:00,75.512
2019-08-21 0:00,75.498
2019-08-22 0:00,75.49
2019-08-23 0:00,75.474
2019-08-24 0:00,75.447
2019-08-25 0:00,75.434
2019-08-26 0:00,75.423
2019-08-27 0:00,75.409
2019-08-28 0:00,75.408
2019-08-29 0:00,75.416
2019-08-30 0:00,75.405
2019-08-31 0:00,75.384
2019-09-01 0:00,75.374
2019-09-02 0:00,75.355
2019-09-03 0:00,75.365
2019-09-04 0:00,75.359
2019-09-05 0:00,75.346
2019-09-06 0:00,75.334
2019-09-07 0:00,75.312
2019-09-08 0:00,75.318
2019-09-09 0:00,75.295
2019-09-10 0:00,75.285
2019-09-11 0:00,75.288
2019-09-12 0:00,75.277
2019-09-13 0:00,75.275
2019-09-14 0:00,75.257
2019-09-15 0:00,75.271
2019-09-16 0:00,75.254
2019-09-17 0:00,75.249
2019-09-18 0:00,75.247
2019-09-19 0:00,75.226
2019-09-20 0:00,75.212
2019-09-21 0:00,75.209
2019-09-22 0:00,75.2
2019-09-23 0:00,75.2
2019-09-24 0:00,75.192
2019-09-25 0:00,75.184
2019-09-26 0:00,75.18
2019-09-27 0:00,75.17
2019-09-28 0:00,75.15
2019-09-29 0:00,75.144
2019-09-30 0:00,75.116
2019-10-01 0:00,75.106
2019-10-02 0:00,75.132
2019-10-03 0:00,75.122
2019-10-04 0:00,75.106
2019-10-05 0:00,75.127
2019-10-06 0:00,75.106
2019-10-07 0:00,75.104
2019-10-08 0:00,75.092
2019-10-09 0:00,75.083
2019-10-10 0:00,75.061
2019-10-11 0:00,75.058
2019-10-12 0:00,75.046
2019-10-13 0:00,75.065
2019-10-14 0:00,75.038
2019-10-15 0:00,75.04
2019-10-16 0:00,75.029
2019-10-17 0:00,75.021
2019-10-18 0:00,75.034
2019-10-19 0:00,75.024
2019-10-20 0:00,75.005
2019-10-21 0:00,75.022
2019-10-22 0:00,75.01
2019-10-23 0:00,75.014
2019-10-24 0:00,75.021
2019-10-25 0:00,75.016
2019-10-26 0:00,75.018
2019-10-27 0:00,75.031
2019-10-28 0:00,75.046
2019-10-29 0:00,75.037
2019-10-30 0:00,75.039
2019-10-31 0:00,75.027
2019-11-01 0:00,75.024
2019-11-02 0:00,75.076
2019-11-03 0:00,75.064
2019-11-04 0:00,75.082
2019-11-05 0:00,75.076
2019-11-06 0:00,75.071
2019-11-07 0:00,75.077
2019-11-08 0:00,75.075
2019-11-09 0:00,75.067
2019-11-10 0:00,75.058
2019-11-11 0:00,75.091
2019-11-12 0:00,75.067
2019-11-13 0:00,75.075
2019-11-14 0:00,75.058
2019-11-15 0:00,75.036
2019-11-16 0:00,75.071
2019-11-17 0:00,75.055
2019-11-18 0:00,75.048
2019-11-19 0:00,75.038
2019-11-20 0:00,75.02
2019-11-21 0:00,75.027
2019-11-22 0:00,74.991
2019-11-23 0:00,75.02
2019-11-24 0:00,74.993
2019-11-25 0:00,75.011
2019-11-26 0:00,75.008
2019-11-27 0:00,75.017
2019-11-28 0:00,75.011
2019-11-29 0:00,75.015
2019-11-30 0:00,75.019
2019-12-01 0:00,75.05
2019-12-02 0:00,75.024
2019-12-03 0:00,74.996
2019-12-04 0:00,74.998
2019-12-05 0:00,74.996
2019-12-06 0:00,75.008
2019-12-07 0:00,75
2019-12-08 0:00,74.996
2019-12-09 0:00,74.995
2019-12-10 0:00,74.977
2019-12-11 0:00,74.967
2019-12-12 0:00,75.001
2019-12-13 0:00,74.997
2019-12-14 0:00,74.98
2019-12-15 0:00,74.991
