Date,Verified (m)
2018-10-21 0:00,74.623
2018-10-22 0:00,74.591
2018-10-23 0:00,74.596
2018-10-24 0:00,74.606
2018-10-25 0:00,74.59
2018-10-26 0:00,74.566
2018-10-27 0:00,74.562
2018-10-28 0:00,74.547
2018-10-29 0:00,74.554
2018-10-30 0:00,74.556
2018-10-31 0:00,74.554
2018-11-01 0:00,74.576
2018-11-02 0:00,74.6
2018-11-03 0:00,74.602
2018-11-04 0:00,74.6
2018-11-05 0:00,74.587
2018-11-06 0:00,74.592
2018-11-07 0:00,74.604
2018-11-08 0:00,74.607
2018-11-09 0:00,74.607
2018-11-10 0:00,74.608
2018-11-11 0:00,74.619
2018-11-12 0:00,74.616
2018-11-13 0:00,74.624
2018-11-14 0:00,74.631
2018-11-15 0:00,74.594
2018-11-16 0:00,74.616
2018-11-17 0:00,74.625
2018-11-18 0:00,74.627
2018-11-19 0:00,74.619
2018-11-20 0:00,74.628
2018-11-21 0:00,74.634
2018-11-22 0:00,74.625
2018-11-23 0:00,74.597
2018-11-24 0:00,74.591
2018-11-25 0:00,74.596
2018-11-26 0:00,74.611
2018-11-27 0:00,74.648
2018-11-28 0:00,74.689
2018-11-29 0:00,74.677
2018-11-30 0:00,74.668
2018-12-01 0:00,74.664
2018-12-02 0:00,74.661
2018-12-03 0:00,74.693
2018-12-04 0:00,74.703
2018-12-05 0:00,74.698
2018-12-06 0:00,74.696
2018-12-07 0:00,74.713
2018-12-08 0:00,74.71
2018-12-09 0:00,74.698
2018-12-10 0:00,74.702
2018-12-11 0:00,74.69
2018-12-12 0:00,74.7
2018-12-13 0:00,74.695
2018-12-14 0:00,74.69
2018-12-15 0:00,74.696
2018-12-16 0:00,74.694
2018-12-17 0:00,74.699
2018-12-18 0:00,74.708
2018-12-19 0:00,74.686
2018-12-20 0:00,74.684
2018-12-21 0:00,74.715
2018-12-22 0:00,74.738
2018-12-23 0:00,74.738
2018-12-24 0:00,74.739
2018-12-25 0:00,74.752
2018-12-26 0:00,74.746
2018-12-27 0:00,74.747
2018-12-28 0:00,74.728
2018-12-29 0:00,74.755
2018-12-30 0:00,74.753
2018-12-31 0:00,74.756
2019-01-01 0:00,74.78
2019-01-02 0:00,74.776
2019-01-03 0:00,74.792
2019-01-04 0:00,74.785
2019-01-05 0:00,74.787
2019-01-06 0:00,74.807
2019-01-07 0:00,74.774
2019-01-08 0:00,74.776
2019-01-09 0:00,74.806
2019-01-10 0:00,74.823
2019-01-11 0:00,74.808
2019-01-12 0:00,74.79
2019-01-13 0:00,74.791
2019-01-14 0:00,74.79
2019-01-15 0:00,74.786
2019-01-16 0:00,74.801
2019-01-17 0:00,74.812
2019-01-18 0:00,74.819
2019-01-19 0:00,74.851
2019-01-20 0:00,74.874
2019-01-21 0:00,74.871
2019-01-22 0:00,74.85
2019-01-23 0:00,74.836
2019-01-24 0:00,74.877
2019-01-25 0:00,74.878
2019-01-26 0:00,74.886
2019-01-27 0:00,74.889
2019-01-28 0:00,74.898
2019-01-29 0:00,74.901
2019-01-30 0:00,74.888
2019-01-31 0:00,74.888
2019-02-01 0:00,74.902
2019-02-02 0:00,74.908
2019-02-03 0:00,74.912
2019-02-04 0:00,74.903
2019-02-05 0:00,74.919
2019-02-06 0:00,74.928
2019-02-07 0:00,74.941
2019-02-08 0:00,74.932
2019-02-09 0:00,74.96
2019-02-10 0:00,74.965
2019-02-11 0:00,74.965
2019-02-12 0:00,74.945
2019-02-13 0:00,74.968
2019-02-14 0:00,74.988
2019-02-15 0:00,74.988
2019-02-16 0:00,75.006
2019-02-17 0:00,75.004
2019-02-18 0:00,75.003
2019-02-19 0:00,74.987
2019-02-20 0:00,74.988
2019-02-21 0:00,74.98
2019-02-22 0:00,74.99
2019-02-23 0:00,74.978
2019-02-24 0:00,74.969
2019-02-25 0:00,74.996
2019-02-26 0:00,75.013
2019-02-27 0:00,74.996
2019-02-28 0:00,74.99
2019-03-01 0:00,74.985
2019-03-02 0:00,74.984
2019-03-03 0:00,74.98
2019-03-04 0:00,74.975
2019-03-05 0:00,74.961
2019-03-06 0:00,74.969
2019-03-07 0:00,74.967
2019-03-08 0:00,74.952
2019-03-09 0:00,74.944
2019-03-10 0:00,74.92
2019-03-11 0:00,74.951
2019-03-12 0:00,74.962
2019-03-13 0:00,74.952
2019-03-14 0:00,74.941
2019-03-15 0:00,74.944
2019-03-16 0:00,74.977
2019-03-17 0:00,74.974
2019-03-18 0:00,74.968
2019-03-19 0:00,74.97
2019-03-20 0:00,74.969
2019-03-21 0:00,74.97
2019-03-22 0:00,74.984
2019-03-23 0:00,74.987
2019-03-24 0:00,74.975
2019-03-25 0:00,74.979
2019-03-26 0:00,74.975
2019-03-27 0:00,74.969
2019-03-28 0:00,74.959
2019-03-29 0:00,74.967
2019-03-30 0:00,74.983
2019-03-31 0:00,75.013
2019-04-01 0:00,75.026
2019-04-02 0:00,75.02
2019-04-03 0:00,75.037
2019-04-04 0:00,75.036
2019-04-05 0:00,75.03
2019-04-06 0:00,75.04
2019-04-07 0:00,75.042
2019-04-08 0:00,75.051
2019-04-09 0:00,75.061
2019-04-10 0:00,75.062
2019-04-11 0:00,75.047
2019-04-12 0:00,75.057
2019-04-13 0:00,75.06
2019-04-14 0:00,75.062
2019-04-15 0:00,75.109
2019-04-16 0:00,75.103
2019-04-17 0:00,75.114
2019-04-18 0:00,75.111
2019-04-19 0:00,75.138
2019-04-20 0:00,75.166
2019-04-21 0:00,75.196
2019-04-22 0:00,75.212
2019-04-23 0:00,75.231
2019-04-24 0:00,75.265
2019-04-25 0:00,75.285
2019-04-26 0:00,75.308
2019-04-27 0:00,75.344
2019-04-28 0:00,75.367
2019-04-29 0:00,75.384
2019-04-30 0:00,75.39
2019-05-01 0:00,75.417
2019-05-02 0:00,75.448
2019-05-03 0:00,75.467
2019-05-04 0:00,75.489
2019-05-05 0:00,75.503
2019-05-06 0:00,75.516
2019-05-07 0:00,75.548
2019-05-08 0:00,75.549
2019-05-09 0:00,75.559
2019-05-10 0:00,75.59
2019-05-11 0:00,75.617
2019-05-12 0:00,75.633
2019-05-13 0:00,75.66
2019-05-14 0:00,75.691
2019-05-15 0:00,75.704
2019-05-16 0:00,75.721
2019-05-17 0:00,75.734
2019-05-18 0:00,75.759
2019-05-19 0:00,75.757
2019-05-20 0:00,75.774
2019-05-21 0:00,75.791
2019-05-22 0:00,75.808
2019-05-23 0:00,75.801
2019-05-24 0:00,75.824
2019-05-25 0:00,75.822
2019-05-26 0:00,75.851
2019-05-27 0:00,75.861
2019-05-28 0:00,75.867
2019-05-29 0:00,75.868
2019-05-30 0:00,75.868
2019-05-31 0:00,75.874
2019-06-01 0:00,75.887
2019-06-02 0:00,75.886
2019-06-03 0:00,75.898
2019-06-04 0:00,75.904
2019-06-05 0:00,75.908
2019-06-06 0:00,75.914
2019-06-07 0:00,75.908
2019-06-08 0:00,75.905
2019-06-09 0:00,75.896
2019-06-10 0:00,75.895
2019-06-11 0:00,75.908
2019-06-12 0:00,75.909
2019-06-13 0:00,75.905
2019-06-14 0:00,75.907
2019-06-15 0:00,75.917
2019-06-16 0:00,75.916
2019-06-17 0:00,75.908
2019-06-18 0:00,75.897
2019-06-19 0:00,75.892
2019-06-20 0:00,75.897
2019-06-21 0:00,75.907
2019-06-22 0:00,75.911
2019-06-23 0:00,75.907
2019-06-24 0:00,75.904
2019-06-25 0:00,75.904
2019-06-26 0:00,75.908
2019-06-27 0:00,75.908
2019-06-28 0:00,75.905
2019-06-29 0:00,75.899
2019-06-30 0:00,75.9
2019-07-01 0:00,75.89
2019-07-02 0:00,75.886
2019-07-03 0:00,75.875
2019-07-04 0:00,75.87
2019-07-05 0:00,75.851
2019-07-06 0:00,75.846
2019-07-07 0:00,75.842
2019-07-08 0:00,75.831
2019-07-09 0:00,75.817
2019-07-10 0:00,75.813
2019-07-11 0:00,75.806
2019-07-12 0:00,75.815
2019-07-13 0:00,75.817
2019-07-14 0:00,75.814
2019-07-15 0:00,75.795
2019-07-16 0:00,75.779
2019-07-17 0:00,75.806
2019-07-18 0:00,75.808
2019-07-19 0:00,75.794
2019-07-20 0:00,75.793
2019-07-21 0:00,75.804
2019-07-22 0:00,75.8
2019-07-23 0:00,75.785
2019-07-24 0:00,75.767
2019-07-25 0:00,75.759
2019-07-26 0:00,75.746
2019-07-27 0:00,75.734
2019-07-28 0:00,75.72
2019-07-29 0:00,75.733
2019-07-30 0:00,75.732
2019-07-31 0:00,75.724
2019-08-01 0:00,75.701
2019-08-02 0:00,75.672
2019-08-03 0:00,75.656
2019-08-04 0:00,75.643
2019-08-05 0:00,75.62
2019-08-06 0:00,75.604
2019-08-07 0:00,75.616
2019-08-08 0:00,75.623
2019-08-09 0:00,75.645
2019-08-10 0:00,75.639
2019-08-11 0:00,75.603
2019-08-12 0:00,75.579
2019-08-13 0:00,75.568
2019-08-14 0:00,75.548
2019-08-15 0:00,75.525
2019-08-16 0:00,75.504
2019-08-17 0:00,75.487
2019-08-18 0:00,75.488
2019-08-19 0:00,75.486
2019-08-20 0:00,75.48
2019-08-21 0:00,75.478
2019-08-22 0:00,75.487
2019-08-23 0:00,75.487
2019-08-24 0:00,75.451
2019-08-25 0:00,75.426
2019-08-26 0:00,75.397
2019-08-27 0:00,75.375
2019-08-28 0:00,75.377
2019-08-29 0:00,75.37
2019-08-30 0:00,75.391
2019-08-31 0:00,75.388
2019-09-01 0:00,75.36
2019-09-02 0:00,75.355
2019-09-03 0:00,75.34
2019-09-04 0:00,75.343
2019-09-05 0:00,75.352
2019-09-06 0:00,75.338
2019-09-07 0:00,75.315
2019-09-08 0:00,75.315
2019-09-09 0:00,75.286
